Département,Ensemble des exploitations,l'exploitation va disparaitre,Superficie agricole utilisée (ha),Unités de travail annuel (UTA),Production brute standard (millier d'euros),Region,"Exploitations dont le chef, ou le plus âgé des coexploitants a 50 ans  ou plus"
France Métropolitaine,489977,46721,26963252,751365,51256612,,289604
Seine-et-Marne,2638,114,335860,4362,459466,1,1549
Yvelines,948,111,89134,1753,129360,1,619
Essonne,763,53,84144,1284,108549,1,490
Hauts-de-Seine,9,,13,22,376,1,6
Seine-Saint-Denis,29,5,887,263,8966,1,24
Val-de-Marne,53,,998,197,10946,1,37
Val-d'Oise,586,74,57800,1206,100063,1,403
Ardennes,2979,122,432333,6509,468094,2,1740
Aube,5243,149,450574,5395,548360,2,2807
Marne,14120,264,452691,5987,418418,2,7849
Haute-Marne,2245,146,332175,7500,591774,2,1353
Aisne,5062,216,288333,5778,494804,3,2786
Oise,3359,222,355267,6590,507725,3,2017
Somme,5436,373,457678,10122,718637,3,3224
Eure,5018,372,219610,5375,275865,4,3240
Seine-Maritime,6471,401,188346,4316,257479,4,3967
Cher,3806,214,370203,5100,344327,5,2282
Eure-et-Loir,4318,146,233892,3930,258936,5,2666
Indre,4881,307,517453,12225,923814,5,3061
Indre-et-Loire,4842,414,417276,7144,663456,5,2990
Loir-et-Cher,3434,300,20215,444,26537,5,2088
Loiret,3800,217,380878,9170,569925,5,2337
Calvados,6633,610,376981,6017,529726,6,4206
Manche,11328,1209,427119,13357,922841,6,7409
Orne,5924,375,397461,8372,558023,6,3618
Côte-d'Or,4893,396,397416,9100,709967,7,2885
Nièvre,3476,248,493330,8859,948114,7,1954
Saône-et-Loire,7689,845,354347,11582,947398,7,4189
Yonne,4274,256,368691,5560,534612,7,2496
Nord,6721,600,463513,11297,946061,8,3719
Pas-de-Calais,6734,474,465287,8548,845636,8,3559
Meurthe-et-Moselle,2725,233,302043,4501,365568,9,1587
Meuse,2975,293,374639,8871,1058301,9,1821
Moselle,3752,398,554703,22984,2622505,9,2162
Vosges,3198,435,305377,3656,335717,9,1974
Bas-Rhin,6572,803,271539,4189,311683,10,3968
Haut-Rhin,5442,401,328940,4475,377121,10,3283
Doubs,3344,386,316130,5206,341040,11,1706
Jura,3155,259,197418,8977,570423,11,1853
Haute-Saône,2792,295,139219,7790,485977,11,1588
Territoire-de-Belfort,445,45,221611,4525,272996,11,281
Loire-Atlantique,6540,664,406208,13497,997533,12,3617
Maine-et-Loire,8247,542,458645,19984,1614969,12,4432
Mayenne,8065,496,396205,10761,874330,12,4805
Sarthe,5310,445,369117,8452,790937,12,2967
Vendée,6182,481,470250,11958,1187862,12,3323
Côtes-d'Armor,9472,756,438314,16227,1851928,13,4994
Finistère,7789,757,385380,16161,1712231,13,4008
Ille-et-Vilaine,9630,894,446381,14641,1248544,13,5415
Morbihan,7556,701,368154,11154,1383863,13,3961
Charente,6476,585,366172,9184,693102,14,4116
Charente-Maritime,7367,862,430258,10738,768067,14,4682
 Deux-Sèvres,6439,611,228827,7070,225641,14,3665
Vienne,5160,348,318584,6029,241736,14,3226
Dordogne,8683,1207,309682,11854,585131,15,5618
Gironde,9432,1095,241979,28713,1553760,15,6011
Landes,5784,533,211021,7819,646080,15,3607
Lot-et-Garonne,7207,961,284313,11810,594634,15,4726
Pyrénées-Atlantiques,11949,908,330208,13774,613808,15,6921
Ariège,2664,233,450285,9786,819992,16,1576
Aveyron,9094,781,474240,6699,522528,16,5123
Haute-Garonne,6413,805,291348,6132,256716,16,4165
Gers,7810,784,132162,3129,105355,16,4834
Lot,5113,806,223996,9065,404400,16,3236
Hautes-Pyrénées,5155,846,521838,12992,593769,16,3235
Tarn,6087,564,160415,10921,494158,16,3667
 Tarn-et-Garonne,5283,868,331035,6902,330982,16,3231
 Corrèze,5202,683,447223,9561,597816,17,3185
 Creuse,4624,292,184973,11573,484359,17,2823
Haute-Vienne,4815,472,223503,6350,304012,17,2886
Ain,4094,673,241712,3803,117625,18,2504
Ardèche,4713,586,127241,5044,183708,18,2713
Drôme,6395,442,74699,7137,266892,18,3760
Isère,6302,845,298095,7983,372416,18,3719
 Loire,5701,655,210401,8884,357200,18,3012
Rhône,5948,620,247402,5975,368615,18,3286
 Savoie,2747,389,486316,7355,419677,18,1557
Haute-Savoie,3120,375,128501,6252,259066,18,1800
Allier,5523,435,347739,8582,299176,19,3249
 Cantal,5660,373,204342,11371,562452,19,3101
Haute-Loire,5114,795,241265,7831,325651,19,2695
Puy-de-Dôme,7377,734,233552,7768,301518,19,4466
Aude,7275,891,230242,6550,257325,20,4320
 Gard,6719,918,391917,9426,381133,20,4100
Hérault,9929,1648,138649,10114,374690,20,6307
Lozère,2641,162,116384,3895,140080,20,1300
Pyrénées-Orientales,4146,643,125299,5017,164629,20,2365
Alpes-de-Haute-Provence,2181,84,145106,2953,131702,21,1301
Hautes-Alpes,1795,171,95896,2764,85848,21,955
Alpes-Maritimes,1894,455,41993,2406,91553,21,1336
Bouches-du-Rhône,4888,574,148571,9959,444622,21,3053
Var,5422,461,66584,8285,420631,21,3659
Vaucluse,5923,777,111218,12498,680086,21,3667
 Corse-du-Sud,996,125,62769,1341,39082,22,539
 Haute-Corse,1814,126,105126,2699,143406,22,992
Paris,,,,,,,
Métropole de Lyon,,,,,,,
