Département,Année,Sols artificiels,Sols agricoles,Sols naturels,Surface totale
France métropolitaine,2006,4568478,28591149,21759618,54919246
Paris,2006,10062,0,453,10515
Seine-et-Marne,2006,68783,355229,168815,592827
Yvelines,2006,44154,98141,88400,230695
Essonne,2006,38391,90300,53261,181952
Hauts-de-Seine,2006,13270,88,4218,17576
Seine-Saint-Denis,2006,20159,528,2905,23592
Val-de-Marne,2006,18921,1020,4638,24579
Val-d'Oise,2006,29505,59547,36211,125263
Ardennes,2006,26816,308469,189328,524613
Aube,2006,31668,386670,184428,602766
Marne,2006,48592,577164,193828,819583
Haute-Marne,2006,26354,325690,272981,625026
Aisne,2006,49694,508228,184032,741954
Oise,2006,60752,379021,149251,589025
Somme,2006,49159,474377,97254,620790
Eure,2006,60583,393253,149128,602963
Seine-Maritime,2006,77639,415501,137251,630391
Cher,2006,45338,455368,230303,731010
Eure-et-Loir,2006,44556,457371,91259,593186
Indre,2006,37217,474522,178572,690312
Indre-et-Loire,2006,51877,360997,202515,615388
Loir-et-Cher,2006,55674,321715,264952,642342
Loiret,2006,67898,370106,243315,681318
Calvados,2006,56859,420106,83478,560443
Manche,2006,50151,460606,88386,599143
Orne,2006,43538,449358,121477,614374
Côte-d'Or,2006,52941,461159,366262,880362
Nièvre,2006,35025,388851,263404,687280
Saône-et-Loire,2006,63974,547994,249446,861414
Yonne,2006,50396,443447,252340,746183
Nord,2006,112799,383805,77842,574446
Pas-de-Calais,2006,83719,500511,86419,670649
Meurthe-et-Moselle,2006,39167,290128,198919,528214
Meuse,2006,22260,353319,248097,623676
Moselle,2006,62600,336319,226186,625104
Vosges,2006,38234,227782,323909,589925
Bas-Rhin,2006,51812,216667,211414,479893
Haut-Rhin,2006,42084,150637,160571,353293
Doubs,2006,40759,238062,247080,525901
Jura,2006,31386,189214,284270,504870
Haute-Saône,2006,28690,249779,260537,539006
Territoire de Belfort,2006,8710,21679,30673,61062
Loire-Atlantique,2006,90201,449551,155900,695651
Maine-et-Loire,2006,74164,513848,135260,723272
Mayenne,2006,37304,410706,73334,521344
Sarthe,2006,54129,413546,156794,624468
Vendée,2006,78029,490287,107335,675651
Côtes-d'Armor,2006,74850,449453,175301,699604
Finistère,2006,75192,395114,208375,678680
Ille-et-Vilaine,2006,82795,488133,114294,685222
Morbihan,2006,85353,393701,208081,687135
Charente,2006,51786,372067,173583,597437
Charente-Maritime,2006,80987,455684,152615,689285
Deux-Sèvres,2006,57092,451511,95093,603695
Vienne,2006,55821,498775,149578,704174
Dordogne,2006,72689,372421,477417,922527
Gironde,2006,111123,306304,602750,1020177
Landes,2006,56838,228249,649604,934691
Lot-et-Garonne,2006,47914,313313,177229,538457
Pyrénées-Atlantiques,2006,53242,379008,335332,767581
Ariège,2006,16324,152473,322166,490963
Aveyron,2006,40981,470739,365411,877131
Haute-Garonne,2006,86172,355057,194513,635742
Gers,2006,41234,464423,124425,630081
Lot,2006,29620,203186,289698,522505
Hautes-Pyrénées,2006,22246,199493,230350,452088
Tarn,2006,36830,308182,233077,578089
Tarn-et-Garonne,2006,38315,226968,107828,373110
Corrèze,2006,40579,225416,323913,589908
Creuse,2006,32756,309640,217707,560102
Haute-Vienne,2006,39869,305662,210300,555831
Ain,2006,57851,264460,256195,578505
Ardèche,2006,41051,128238,387256,556545
Drôme,2006,50656,193821,411532,656009
Isère,2006,69208,287132,431873,788213
Loire,2006,56440,253709,170410,480559
Rhône,2006,66661,148236,111042,325940
Savoie,2006,29418,166166,431462,627046
Haute-Savoie,2006,47843,141653,294376,483872
Allier,2006,47721,511145,178910,737776
Cantal,2006,29041,343444,205272,577757
Haute-Loire,2006,30104,247601,222484,500189
Puy-de-Dôme,2006,55955,435406,309822,801184
Aude,2006,38603,226029,369800,634432
Gard,2006,47586,183314,356354,587255
Hérault,2006,49618,166717,406328,622664
Lozère,2006,15736,193893,308022,517650
Pyrénées-Orientales,2006,36587,99719,277813,414119
Alpes-de-Haute-Provence,2006,13230,120862,561758,695851
Hautes-Alpes,2006,13017,184373,371598,568987
Alpes-Maritimes,2006,31903,65060,332292,429256
Bouches-du-Rhône,2006,69915,143625,312000,525540
Var,2006,54629,71521,477104,603253
Vaucluse,2006,39158,136059,182255,357471
Corse-du-Sud,2006,7895,61368,333579,402843
Haute-Corse,2006,12053,71964,384810,468826
France métropolitaine,2014,5104274,28029884,21785087,54919246
Paris,2014,10062,0,453,10515
Seine-et-Marne,2014,73991,350919,167917,592827
Yvelines,2014,45065,95501,90130,230695
Essonne,2014,41365,89129,51459,181952
Hauts-de-Seine,2014,13270,88,4218,17576
Seine-Saint-Denis,2014,20863,528,2201,23592
Val-de-Marne,2014,19014,1020,4545,24579
Val-d'Oise,2014,30846,58117,36300,125263
Ardennes,2014,26456,312068,186089,524613
Aube,2014,36346,382351,184068,602766
Marne,2014,82426,566546,170612,819583
Haute-Marne,2014,27067,326046,271913,625026
Aisne,2014,51697,505133,185125,741954
Oise,2014,62928,371949,154148,589025
Somme,2014,53596,466746,100448,620790
Eure,2014,65243,391102,146618,602963
Seine-Maritime,2014,82279,413538,134574,630391
Cher,2014,50757,449046,231206,731010
Eure-et-Loir,2014,49924,451287,91975,593186
Indre,2014,45090,462355,182866,690312
Indre-et-Loire,2014,61147,351370,202871,615388
Loir-et-Cher,2014,60390,311559,270393,642342
Loiret,2014,74381,363262,243675,681318
Calvados,2014,64827,403446,92170,560443
Manche,2014,57798,448868,92477,599143
Orne,2014,49272,436637,128465,614374
Côte-d'Or,2014,54741,462420,363201,880362
Nièvre,2014,37706,389387,260187,687280
Saône-et-Loire,2014,70246,542976,248192,861414
Yonne,2014,51480,438208,256495,746183
Nord,2014,117844,374255,82347,574446
Pas-de-Calais,2014,96501,485208,88940,670649
Meurthe-et-Moselle,2014,42250,289947,198375,530572
Meuse,2014,26928,348628,245763,621319
Moselle,2014,74439,331296,219370,625104
Vosges,2014,44546,226339,319039,589925
Bas-Rhin,2014,56522,212138,211233,479893
Haut-Rhin,2014,47322,147205,158765,353293
Doubs,2014,47252,235537,243112,525901
Jura,2014,35511,185448,283911,504870
Haute-Saône,2014,32814,247448,258744,539006
Territoire de Belfort,2014,8710,21869,30484,61062
Loire-Atlantique,2014,98186,444106,153359,695651
Maine-et-Loire,2014,82110,500251,140911,723272
Mayenne,2014,44037,403791,73516,521344
Sarthe,2014,64774,401276,158418,624468
Vendée,2014,93311,480219,102121,675651
Côtes-d'Armor,2014,85517,443764,170323,699604
Finistère,2014,79980,391212,207488,678680
Ille-et-Vilaine,2014,92155,476614,116454,685222
Morbihan,2014,95056,383998,208081,687135
Charente,2014,59726,369541,168170,597437
Charente-Maritime,2014,86206,441646,161433,689285
Deux-Sèvres,2014,60514,446468,96714,603695
Vienne,2014,65215,489200,149759,704174
Dordogne,2014,79151,364883,478494,922527
Gironde,2014,130121,289815,600241,1020177
Landes,2014,64548,228787,641356,934691
Lot-et-Garonne,2014,54861,302270,181326,538457
Pyrénées-Atlantiques,2014,63168,360780,343634,767581
Ariège,2014,17759,152114,321090,490963
Aveyron,2014,43677,474334,359121,877131
Haute-Garonne,2014,91893,349515,194334,635742
Gers,2014,44851,456104,129127,630081
Lot,2014,33774,204631,284100,522505
Hautes-Pyrénées,2014,25116,194290,232682,452088
Tarn,2014,44232,306557,227300,578089
Tarn-et-Garonne,2014,41051,222771,109288,373110
Corrèze,2014,45941,227740,316226,589908
Creuse,2014,31489,312354,216259,560102
Haute-Vienne,2014,44179,304944,206708,555831
Ain,2014,65217,258351,254938,578505
Ardèche,2014,40869,117339,398337,556545
Drôme,2014,57482,185558,412969,656009
Isère,2014,79147,283518,425549,788213
Loire,2014,57711,252257,170591,480559
Rhône,2014,66302,144103,115534,325940
Savoie,2014,32984,162779,431284,627046
Haute-Savoie,2014,54035,131522,298316,483872
Allier,2014,49173,509149,179454,737776
Cantal,2014,28861,341099,207798,577757
Haute-Loire,2014,33310,245998,220881,500189
Puy-de-Dôme,2014,61533,430369,309282,801184
Aude,2014,45278,212680,376474,634432
Gard,2014,51552,163126,372577,587255
Hérault,2014,56114,157696,408854,622664
Lozère,2014,16097,202936,298616,517650
Pyrénées-Orientales,2014,39457,87343,287319,414119
Alpes-de-Haute-Provence,2014,16091,118180,561579,695851
Hautes-Alpes,2014,14621,166542,387824,568987
Alpes-Maritimes,2014,35667,52335,341254,429256
Bouches-du-Rhône,2014,95569,127546,302425,525540
Var,2014,67567,70802,464884,603253
Vaucluse,2014,46737,129383,181352,357471
Corse-du-Sud,2014,12202,64598,326042,402843
Haute-Corse,2014,17193,43781,407852,468826
