Indicateur;Régions;2010;2011;2012;2013
avg land sell price;France métropolitaine;;;;
avg land sell price;Alsace;6365;6885;6755;6960
avg land sell price;Aquitaine;5632;5998;6242;6602
avg land sell price;Auvergne;4138;4138;4118;4245
avg land sell price;Basse-Normandie;5777;6140;6357;6647
avg land sell price;Bourgogne;2815;2818;2835;2938
avg land sell price;Bretagne;4073;4135;4220;4398
avg land sell price;Centre;4582;4712;4872;4993
avg land sell price;Champagne-Ardenne;5793;6105;6293;6735
avg land sell price;Corse;5330;5465;6250;6785
avg land sell price;Franche-Comté;2588;2745;2698;2710
avg land sell price;Haute-Normandie;7455;8015;8045;8580
avg land sell price;Ile-de-France;7265;6970;6470;7010
avg land sell price;Languedoc-Roussillon;7386;7390;6868;6810
avg land sell price;Limousin;3157;3190;3067;3073
avg land sell price;Lorraine;3863;4050;4163;4435
avg land sell price;Midi-Pyrénées;5231;5475;5584;5893
avg land sell price;Nord-Pas-de-Calais;9235;9690;10285;11060
avg land sell price;Pays de la Loire;3302;3384;3382;3540
avg land sell price;Picardie;6933;7750;8227;8773
avg land sell price;Poitou-Charentes;3478;3593;3638;3855
avg land sell price;Provence-Alpes-Côte d'Azur;14275;14912;12862;12822
avg land sell price;Rhône-Alpes;5616;5445;5265;5236
